Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdag3             0.00     0.00  0.20  4.20     1.67    36.33     8.64     0.00    0.83   0.83   0.36
sdah              0.00     0.00  0.10  5.30     0.87    48.53     9.15     0.00    0.59   0.57   0.31
sdah3             0.00     0.00  0.10  5.30     0.87    48.53     9.15     0.00    0.59   0.57   0.31
sdai              0.00     0.00  0.10  3.80     1.60    29.80     8.05     0.00    0.58   0.58   0.23
sdai3             0.00     0.00  0.10  3.80     1.60    29.80     8.05     0.00    0.58   0.58   0.23
sdaj              0.00     0.00  0.37  3.83     4.47    33.27     8.98     0.01    1.21   0.96   0.40
sdaj3             0.00     0.00  0.37  3.83     4.47    33.27     8.98     0.01    1.21   0.96   0.40
sdak              0.00     0.00  0.40  4.00     2.93    33.80     8.35     0.00    0.92   0.91   0.40
sdak3             0.00     0.00  0.40  4.00     2.93    33.80     8.35     0.00    0.92   0.91   0.40
sdal              0.00     0.00  0.17  4.40     1.53    42.60     9.66     0.00    0.64   0.61   0.28
sdal3             0.00     0.00  0.17  4.40     1.53    42.60     9.66     0.00    0.64   0.61   0.28
sdam              0.00     0.00  0.10  4.83     2.40    39.33     8.46     0.00    0.50   0.47   0.23
sdam3             0.00     0.00  0.10  4.83     2.40    39.33     8.46     0.00    0.50   0.47   0.23
sdan              0.00     0.00  0.23  4.87     1.73    36.40     7.48     0.00    0.58   0.56   0.28
sdan3             0.00     0.00  0.23  4.87     1.73    36.40     7.48     0.00    0.58   0.56   0.28
sdao              0.00     0.00  0.30  4.27     6.07    36.73     9.37     0.00    0.94   0.85   0.39
sdao3             0.00     0.00  0.30  4.27     6.07    36.73     9.37     0.00    0.94   0.85   0.39
sdap              0.00     0.00  0.30  1.90     5.13    27.67    14.91     0.00    1.91   1.55   0.34
sdap3             0.00     0.00  0.30  1.90     5.13    27.67    14.91     0.00    1.91   1.55   0.34
sdaq              0.00     0.00  0.10  2.10     2.67    26.27    13.15     0.00    0.59   0.47   0.10
sdaq3             0.00     0.00  0.10  2.10     2.67    26.27    13.15     0.00    0.59   0.47   0.10
sdar              0.00     0.00  0.40  1.83     5.40    25.60    13.88     0.00    1.81   1.79   0.40
sdar3             0.00     0.00  0.40  1.83     5.40    25.60    13.88     0.00    1.81   1.79   0.40
sdas              0.00     0.00  0.30  2.43     2.53    33.47    13.17     0.00    1.23   1.17   0.32
sdas3             0.00     0.00  0.30  2.43     2.53    33.47    13.17     0.00    1.23   1.17   0.32
sdat              0.00     0.00  0.27  3.37     2.40    40.80    11.89     0.00    0.74   0.71   0.26
sdat3             0.00     0.00  0.27  3.37     2.40    40.80    11.89     0.00    0.74   0.71   0.26
sdau              0.00     0.00  0.17  2.67     1.40    38.93    14.24     0.00    0.89   0.86   0.24
sdau3             0.00     0.00  0.17  2.67     1.40    38.93    14.24     0.00    0.89   0.86   0.24
sdav              0.00     0.00  0.20  3.13     2.40    46.53    14.68     0.00    0.82   0.76   0.25
sdav3             0.00     0.00  0.20  3.13     2.40    46.53    14.68     0.00    0.82   0.76   0.25
sdaw              0.00     0.00  0.27  4.77     2.40    37.80     7.99     0.00    0.71   0.70   0.35
sdaw3             0.00     0.00  0.27  4.77     2.40    37.80     7.99     0.00    0.71   0.70   0.35
sdax              0.00     0.00  0.43  4.13     4.93    35.40     8.83     0.00    0.68   0.59   0.27
sdax3             0.00     0.00  0.43  4.13     4.93    35.40     8.83     0.00    0.68   0.59   0.27
sday              0.00     0.00  0.27  3.00     4.33    19.60     7.33     0.01    1.60   1.35   0.44
sday3             0.00     0.00  0.27  3.00     4.33    19.60     7.33     0.01    1.60   1.35   0.44
sdaz              0.00     0.00  0.50  4.40    10.33    35.13     9.28     0.00    0.94   0.90   0.44
sdaz3             0.00     0.00  0.50  4.40    10.33    35.13     9.28     0.00    0.94   0.90   0.44
sdba              0.00     0.00  0.13  4.50     1.27    43.47     9.65     0.00    0.50   0.48   0.22
sdba3             0.00     0.00  0.13  4.50     1.27    43.47     9.65     0.00    0.50   0.48   0.22
sdbb              0.00     0.00  0.10  4.93     1.33    48.80     9.96     0.00    0.40   0.36   0.18
sdbb3             0.00     0.00  0.10  4.93     1.33    48.80     9.96     0.00    0.40   0.36   0.18
sdbc              0.00     0.00  0.17  4.30     1.33    34.87     8.10     0.00    0.44   0.40   0.18
sdbc3             0.00     0.00  0.17  4.30     1.33    34.87     8.10     0.00    0.44   0.40   0.18
sdbd              0.00     0.00  0.10  4.63     1.73    36.13     8.00     0.00    0.45   0.40   0.19
sdbd3             0.00     0.00  0.10  4.63     1.73    36.13     8.00     0.00    0.45   0.40   0.19
sdbe              0.00     0.00  0.33  4.37     8.80    34.27     9.16     0.00    0.76   0.70   0.33
sdbe3             0.00     0.00  0.33  4.37     8.80    34.27     9.16     0.00    0.76   0.70   0.33
sdbf              0.00     0.00  0.23  2.33     2.80    38.40    16.05     0.00    1.21   1.13   0.29
sdbf3             0.00     0.00  0.23  2.33     2.80    38.40    16.05     0.00    1.21   1.13   0.29
sdbg              0.00     0.00  0.17  2.00     1.87    27.60    13.60     0.00    1.28   1.12   0.24
sdbg3             0.00     0.00  0.17  2.00     1.87    27.60    13.60     0.00    1.28   1.12   0.24
sdbh              0.00     0.00  0.17  2.83     1.27    37.33    12.87     0.00    0.63   0.58   0.17
sdbh3             0.00     0.00  0.17  2.83     1.27    37.33    12.87     0.00    0.63   0.58   0.17
sdbi              0.00     0.00  0.23  2.83     3.60    37.00    13.24     0.01    1.87   1.40   0.43
sdbi3             0.00     0.00  0.23  2.83     3.60    37.00    13.24     0.01    1.87   1.40   0.43
sdbj              0.00     0.00  0.07  2.97     1.07    40.00    13.54     0.00    0.42   0.37   0.11
sdbj3             0.00     0.00  0.07  2.97     1.07    40.00    13.54     0.00    0.42   0.37   0.11
sdbk              0.00     0.00  0.43  2.13     8.20    27.33    13.84     0.00    1.16   0.86   0.22
sdbk3             0.00     0.00  0.43  2.13     8.20    27.33    13.84     0.00    1.16   0.86   0.22
sdbl              0.00     0.00  0.30  4.57     2.73    47.70    10.36     0.01    1.08   1.03   0.50
sdbl3             0.00     0.00  0.30  4.57     2.73    47.70    10.36     0.01    1.08   1.03   0.50
sdbm              0.00     0.00  0.07  3.80     0.80    38.40    10.14     0.00    0.29   0.28   0.11
sdbm3             0.00     0.00  0.07  3.80     0.80    38.40    10.14     0.00    0.29   0.28   0.11
sdbn              0.00     0.00  0.27  4.80     3.40    42.33     9.03     0.00    0.52   0.48   0.24
sdbn3             0.00     0.00  0.27  4.80     3.40    42.33     9.03     0.00    0.52   0.48   0.24
sdbo              0.00     0.00  0.10  4.00     1.13    29.27     7.41     0.00    0.30   0.29   0.12
sdbo3             0.00     0.00  0.10  4.00     1.13    29.27     7.41     0.00    0.30   0.29   0.12
sdbp              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbq              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbr              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbs              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbt              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbu              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbv              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbw              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbx              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdby              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbz              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdca              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcb              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcc              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcd              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
VxVM10            0.00     0.00 15.17 233.87   206.87  2325.17    10.17     0.21    0.85   0.56  13.91

Time: 07:12:38 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    2.88    1.08    0.00   96.03

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda2              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda6              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda7              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda8              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb2              0.00     0.00  0.00  0.00     0.00     0.00     0.00 614891469123650.75    0.00   0.00 100.01
sdb3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     1.00    0.00   0.00 100.01
sdc               0.00     6.17  0.00  1.00     0.00    57.33    57.33     0.01   14.43   5.63   0.56
sdc1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc2              0.00     0.70  0.00  0.43     0.00     9.07    20.92     0.01   14.08   6.00   0.26
sdc3              0.00     5.47  0.00  0.57     0.00    48.27    85.18     0.01   14.71   5.35   0.30
sdc4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdd               0.00     0.03  0.20  5.60     2.93    50.53     9.22     0.01    0.87   0.76   0.44
sdd3              0.00     0.03  0.20  5.60     2.93    50.53     9.22     0.01    0.87   0.76   0.44
sde               0.00     0.00  0.07  2.97     0.60    40.73    13.63     0.00    0.40   0.34   0.10
sde3              0.00     0.00  0.07  2.97     0.60    40.73    13.63     0.00    0.40   0.34   0.10
sdf               0.00     0.00  0.20  2.47     2.20    34.67    13.82     0.00    1.16   1.12   0.30
sdf3              0.00     0.00  0.20  2.47     2.20    34.67    13.82     0.00    1.16   1.12   0.30
sdg               0.00     0.00  0.27  2.53     3.73    38.13    14.95     0.00    1.02   0.80   0.22
sdg3              0.00     0.00  0.27  2.53     3.73    38.13    14.95     0.00    1.02   0.80   0.22
sdh               0.00     0.00  0.50  2.47     8.33    32.00    13.60     0.01    2.10   1.44   0.43
sdh3              0.00     0.00  0.50  2.47     8.33    32.00    13.60     0.01    2.10   1.44   0.43
sdi               0.00     0.00  0.27  3.10     2.93    44.13    13.98     0.00    1.03   0.90   0.30
sdi3              0.00     0.00  0.27  3.10     2.93    44.13    13.98     0.00    1.03   0.90   0.30
sdj               0.00     0.00  0.57  3.30     8.40    43.47    13.41     0.01    1.53   1.36   0.53
sdj3              0.00     0.00  0.57  3.30     8.40    43.47    13.41     0.01    1.53   1.36   0.53
sdk               0.00     0.00  0.23  5.20     3.87    54.40    10.72     0.01    0.93   0.65   0.35
sdk3              0.00     0.00  0.23  5.20     3.87    54.40    10.72     0.01    0.93   0.65   0.35
sdl               0.00     0.00  0.43  5.13     4.40    33.93     6.89     0.00    0.74   0.64   0.36
sdl3              0.00     0.00  0.43  5.13     4.40    33.93     6.89     0.00    0.74   0.64   0.36
sdm               0.00     0.00  0.17  4.30     0.93    42.40     9.70     0.00    0.51   0.50   0.22
sdm3              0.00     0.00  0.17  4.30     0.93    42.40     9.70     0.00    0.51   0.50   0.22
sdn               0.00     0.00  0.33  3.80     4.60    33.33     9.18     0.00    1.14   0.77   0.32
sdn3              0.00     0.00  0.33  3.80     4.60    33.33     9.18     0.00    1.14   0.77   0.32
sdo               0.00     0.00  0.10  5.27     1.13    48.47     9.24     0.00    0.35   0.34   0.18
sdo3              0.00     0.00  0.10  5.27     1.13    48.47     9.24     0.00    0.35   0.34   0.18
sdp               0.00     0.00  0.30  5.23     0.67    49.87     9.13     0.01    1.22   1.19   0.66
sdp3              0.00     0.00  0.30  5.23     0.67    49.87     9.13     0.01    1.22   1.19   0.66
sdq               0.00     0.00  0.30  4.93     3.40    46.60     9.55     0.00    0.70   0.61   0.32
sdq3              0.00     0.00  0.30  4.93     3.40    46.60     9.55     0.00    0.70   0.61   0.32
sdr               0.00     0.00  0.23  3.80     2.73    27.40     7.47     0.00    0.46   0.44   0.18
sdr3              0.00     0.00  0.23  3.80     2.73    27.40     7.47     0.00    0.46   0.44   0.18
sds               0.00     0.00  0.20  4.23     2.40    33.20     8.03     0.00    0.45   0.35   0.15
sds3              0.00     0.00  0.20  4.23     2.40    33.20     8.03     0.00    0.45   0.35   0.15
sdt               0.00     0.00  0.23  3.30     1.47    38.17    11.22     0.00    0.68   0.61   0.22
sdt3              0.00     0.00  0.23  3.30     1.47    38.17    11.22     0.00    0.68   0.61   0.22
sdu               0.00     0.00  0.20  2.60     1.73    34.60    12.98     0.00    1.32   1.25   0.35
sdu3              0.00     0.00  0.20  2.60     1.73    34.60    12.98     0.00    1.32   1.25   0.35
sdv               0.00     0.00  0.13  2.47     1.27    30.80    12.33     0.00    0.60   0.54   0.14
sdv3              0.00     0.00  0.13  2.47     1.27    30.80    12.33     0.00    0.60   0.54   0.14
sdw               0.00     0.00  0.20  3.67     2.33    51.00    13.79     0.01    1.44   1.39   0.54
sdw3              0.00     0.00  0.20  3.67     2.33    51.00    13.79     0.01    1.44   1.39   0.54
sdx               0.00     0.00  0.57  2.57    13.80    33.27    15.02     0.00    0.86   0.61   0.19
sdx3              0.00     0.00  0.57  2.57    13.80    33.27    15.02     0.00    0.86   0.61   0.19
sdy               0.00     0.00  0.17  3.13     1.73    41.27    13.03     0.00    0.58   0.54   0.18
sdy3              0.00     0.00  0.17  3.13     1.73    41.27    13.03     0.00    0.58   0.54   0.18
sdz               0.00     0.00  0.27  2.40     5.87    30.60    13.68     0.00    1.36   1.24   0.33
sdz3              0.00     0.00  0.27  2.40     5.87    30.60    13.68     0.00    1.36   1.24   0.33
sdaa              0.00     0.00  0.37  5.07     4.73    43.33     8.85     0.01    1.08   1.01   0.55
sdaa3             0.00     0.00  0.37  5.07     4.73    43.33     8.85     0.01    1.08   1.01   0.55
sdab              0.00     0.07  0.33  4.77     6.93    35.33     8.29     0.00    0.67   0.59   0.30
sdab3             0.00     0.07  0.33  4.77     6.93    35.33     8.29     0.00    0.67   0.59   0.30
sdac              0.03     0.00  0.33  4.70     6.80    45.07    10.30     0.00    0.85   0.87   0.44
